Maldives,MDV,515696,530953
Middle East & North Africa,MEA,448912962,456707404
Mexico,MEX,126190788,127575529
Marshall Islands,MHL,58413,58791
Middle income,MIC,5710089607,5769226180
North Macedonia,MKD,2082958,2083459
Mali,MLI,19077690,19658031
Malta,MLT,484630,502653
Myanmar,MMR,53708395,54045420
Middle East & North Africa (excluding high income),MNA,382896715,389457086
Montenegro,MNE,622227,622137
Mongolia,MNG,3170208,3225167
Northern Mariana Islands,MNP,56882,57216
Mozambique,MOZ,29495962,30366036
Mauritania,MRT,4403319,4525696
Mauritius,MUS,1265303,1265711
Malawi,MWI,18143315,18628747
Malaysia,MYS,31528585,31949777
North America,NAC,363809186,365892703
Namibia,NAM,2448255,2494530
New Caledonia,NCL,284060,287800
Niger,NER,22442948,23310715
Nigeria,NGA,195874740,200963599
Nicaragua,NIC,6465513,6545502
Netherlands,NLD,17231624,17332850
Norway,NOR,5311916,5347896
Nepal,NPL,28087871,28608710
Nauru,NRU,12704,12581
New Zealand,NZL,4841000,4917000
OECD members,OED,1352633507,1359963500
Oman,OMN,4829483,4974986
Other small states,OSS,30760211,31360407
Pakistan,PAK,212215030,216565318
Panama,PAN,4176873,4246439
Peru,PER,31989256,32510453
Philippines,PHL,106651922,108116615
Palau,PLW,17907,18008
Papua New Guinea,PNG,8606316,8776109
Poland,POL,37974750,37970874
Pre-demographic dividend,PRE,919485393,944902749
Puerto Rico,PRI,3193354,3193694
"Korea, Dem. People’s Rep.",PRK,25549819,25666161
Portugal,PRT,10283822,10269417
Paraguay,PRY,6956071,7044636
West Bank and Gaza,PSE,4569087,4685306
Pacific island small states,PSS,2457367,2493696
Post-demographic dividend,PST,1109441474,1112914457
French Polynesia,PYF,277679,279287
Qatar,QAT,2781677,2832067
Romania,ROU,19472545,19356544
Russian Federation,RUS,144477860,144373535
Rwanda,RWA,12301939,12626950
South Asia,SAS,1814388744,1835776742
Saudi Arabia,SAU,33699947,34268528
Sudan,SDN,41801533,42813238
Senegal,SEN,15854360,16296364
Singapore,SGP,5638676,5703569
Solomon Islands,SLB,652858,669823
Sierra Leone,SLE,7650154,7813215
El Salvador,SLV,6420744,6453553
San Marino,SMR,33785,33860
Somalia,SOM,15008154,15442905
Serbia,SRB,6982604,6944975
Sub-Saharan Africa (excluding high income),SSA,1076944455,1105594562
South Sudan,SSD,10975920,11062113
Sub-Saharan Africa,SSF,1078306520,1106957898
Small states,SST,40576543,41255484
Sao Tome and Principe,STP,211028,215056
Suriname,SUR,575991,581372
Slovak Republic,SVK,5446771,5454073
Slovenia,SVN,2073894,2087946
Sweden,SWE,10175214,10285453
Eswatini,SWZ,1136191,1148130
Sint Maarten (Dutch part),SXM,40654,40733
Seychelles,SYC,96762,97625
Syrian Arab Republic,SYR,16906283,17070135
Turks and Caicos Islands,TCA,37665,38191
Chad,TCD,15477751,15946876
East Asia & Pacific (IDA & IBRD countries),TEA,2056064424,2067984156
Europe & Central Asia (IDA & IBRD countries),TEC,458970243.5,460799505
Togo,TGO,7889094,8082366
Thailand,THA,69428524,69625582
Tajikistan,TJK,9100837,9321018
Turkmenistan,TKM,5850908,5942089
Latin America & the Caribbean (IDA & IBRD countries),TLA,624668856,630644770
Timor-Leste,TLS,1267972,1293119
Middle East & North Africa (IDA & IBRD countries),TMN,378327628,384771780
Tonga,TON,103197,104494
South Asia (IDA & IBRD),TSA,1814388744,1835776742
Sub-Saharan Africa (IDA & IBRD countries),TSS,1078306520,1106957898
Trinidad and Tobago,TTO,1389858,1394973
Tunisia,TUN,11565204,11694719
Turkey,TUR,82319724,83429615
Tuvalu,TUV,11508,11646
Tanzania,TZA,56318348,58005463
Uganda,UGA,42723139,44269594
Ukraine,UKR,44622518,44385155
Upper middle income,UMC,2837691842,2855862789
Uruguay,URY,3449299,3461734
United States,USA,326687501,328239523
Uzbekistan,UZB,32956100,33580650
St. Vincent and the Grenadines,VCT,110210,110589
"Venezuela, RB",VEN,28870195,28515829
British Virgin Islands,VGB,29802,30030
Virgin Islands (U.S.),VIR,106977,106631
Vietnam,VNM,95540395,96462106
Vanuatu,VUT,292680,299882
World,WLD,7591932907,7673533972
Samoa,WSM,196130,197097
Kosovo,XKX,1797085,1794248
"Yemen, Rep.",YEM,28498687,29161922
South Africa,ZAF,57779622,58558270
Zambia,ZMB,17351822,17861030
Zimbabwe,ZWE,14439018,14645468
